,All Strip Searches,,,,,"""Reasonable Grounds"" Strip Searches",,,,,"Non ""Reasonable Grounds"" Strip Searches",,,,,
Month,Number of searches,Contraband Finds,Finds / Searches,Searches per Prisoner,,Number of searches,Contraband Finds,Finds / Searches,Searches per Prisoner,,Number of searches,Contraband Finds,Finds / Searches,Searches per Prisoner,,Prison Population
June 2011,"14,298",35,0.24%,1.67,,"2,237",11,0.49%,0.26,,"12,061",24,0.20%,1.40,,"8,587"
July 2011,"13,531",23,0.17%,,,"1,293",9,0.70%,,,"12,238",14,0.11%,,,
August 2011,"13,818",44,0.32%,,,"2,160",22,1.02%,,,"11,658",22,0.19%,,,
September 2011,"13,821",43,0.31%,1.63,,"1,958",42,2.15%,0.23,,"11,863",1,0.01%,1.40,,"8,488"
October 2011,"13,358",28,0.21%,,,"2,359",17,0.72%,,,"10,999",11,0.10%,,,
November 2011,"14,833",25,0.17%,,,"2,482",15,0.60%,,,"12,351",10,0.08%,,,
December 2011,"12,676",20,0.16%,1.50,,"2,126",15,0.71%,0.25,,"10,550",5,0.05%,1.25,,"8,433"
January 2012,"13,127",18,0.14%,,,"2,034",12,0.59%,,,"11,093",6,0.05%,,,
February 2012,"14,358",16,0.11%,,,"2,054",5,0.24%,,,"12,304",11,0.09%,,,
March 2012,"15,726",20,0.13%,1.81,,"3,043",12,0.39%,0.35,,"12,683",8,0.06%,1.46,,"8,698"
April 2012,"11,770",26,0.22%,,,"1,798",18,1.00%,,,"9,972",8,0.08%,,,
May 2012,"12,731",38,0.30%,,,"2,766",18,0.65%,,,"9,965",20,0.20%,,,
June 2012,"12,100",22,0.18%,1.40,,"3,140",19,0.61%,0.36,,"8,960",3,0.03%,1.04,,"8,616"
July 2012,"11,956",29,0.24%,,,"3,487",20,0.57%,,,"8,469",9,0.11%,,,
August 2012,"13,157",26,0.20%,,,"4,508",16,0.35%,,,"8,649",10,0.12%,,,
September 2012,"12,441",43,0.35%,1.44,,"4,216",29,0.69%,0.49,,"8,225",14,0.17%,0.95,,"8,623"
October 2012,"12,216",24,0.20%,,,"4,396",17,0.39%,,,"7,820",7,0.09%,,,
November 2012,"13,000",25,0.19%,,,"4,549",15,0.33%,,,"8,451",10,0.12%,,,
