"Note: All EXTERNAL requests for Tactical Options Reporting (TOR) data (including OIA requests) MUST, upon receipt, be directed to the Manager: Capability, Response and Operations, for reply. All INTERNAL requests for TOR data MUST, upon receipt, be directed to the Manager: Capability, Response and Operations, to determine if District, or Response and Operations, should reply. TOR data MUST NOT be EXTERNALLY released without the permission of the National Manager: Response and Operations.
QUERY: Incident Date >= 01/07/2016 + Incident Date <= 31/12/2016 + Status = Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incident ID,Status,Month,Year,Incident Time,District,Special Police groups,Subject Known,Subject age,Subject Gender,Subject Ethnicity,Subject Armed,Tactics Used,Communication: Usage Count,Communication: PCA,Communication: Tactic Location Type,Communication: Tactic Location Description,Communication: Tactic Effect,HC-Restraints: Usage Count,HC-Restraints 1: PCA,HC-Restraints 1: Technique,HC-Restraints 1: Tactic Location Type,HC-Restraints 1: Tactic Location Description,HC-Restraints 1: Tactic Effect,HC-Restraints 2: PCA,HC-Restraints 2: Technique,HC-Restraints 2: Tactic Location Type,HC-Restraints 2: Tactic Location Description,HC-Restraints 2: Tactic Effect,HC-Restraints 3: PCA,HC-Restraints 3: Technique,HC-Restraints 3: Tactic Location Type,HC-Restraints 3: Tactic Location Description,HC-Restraints 3: Tactic Effect,OC Spray: Usage Count,OC Spray 1: PCA,OC Spray 1: Spray Duration,OC Spray 1: Body Location,OC Spray 1: Tactic Location Type,OC Spray 1: Tactic Location Description,OC Spray 1: Environmental Conditions,OC Spray 1: Tactic Effect,OC Spray 2: PCA,OC Spray 2: Spray Duration,OC Spray 2: Body Location,OC Spray 2: Tactic Location Type,OC Spray 2: Tactic Location Description,OC Spray 2: Environmental Conditions,OC Spray 2: Tactic Effect,OC Spray 3: PCA,OC Spray 3: Spray Duration,OC Spray 3: Body Location,OC Spray 3: Tactic Location Type,OC Spray 3: Tactic Location Description,OC Spray 3: Environmental Conditions,OC Spray 3: Tactic Effect,Empty Hand: Usage Count,Empty Hand 1: PCA,Empty Hand 1: Tactic Location Type,Empty Hand 1: Tactic Location Description,Empty Hand 1: Tactic Effect,Empty Hand 2: PCA,Empty Hand 2: Tactic Location Type,Empty Hand 2: Tactic Location Description,Empty Hand 2: Tactic Effect,Empty Hand 3: PCA,Empty Hand 3: Tactic Location Type,Empty Hand 3: Tactic Location Description,Empty Hand 3: Tactic Effect,Baton: Usage Count,Baton 1: PCA,Baton 1: Type,Baton 1: Method,Baton 1: Strikes,Baton 1: Tactic Location Type,Baton 1: Tactic Location Description,Baton 1: Tactic Effect,Baton 2: PCA,Baton 2: Type,Baton 2: Method,Baton 2: Strikes,Baton 2: Tactic Location Type,Baton 2: Tactic Location Description,Baton 2: Tactic Effect,Dog: Usage Count,Dog 1: PCA,Dog 1: Subject Bitten,Dog 1: Tactic Location Type,Dog 1: Tactic Location Description,Dog 1: Tactic Effect,Dog 2: PCA,Dog 2: Subject Bitten,Dog 2: Tactic Location Type,Dog 2: Tactic Location Description,Dog 2: Tactic Effect,Taser: Usage Count,Taser 1: PCA,Taser 1: Type,Taser 1: Deployment Method,Taser 1: Number of discharges with probes,Taser 1: Number of contact stuns,Taser 1: Num of 5 second cycles,Taser 1: Body Location,Taser 1: Activation Duration,Taser 1: Tactic Location Type,Taser 1: Tactic Location Description,Taser 1: Environmental Conditions,Taser 1: Subject Restrained?,Taser 1: Tactic Effect,Taser 2: PCA,Taser 2: Type,Taser 2: Deployment Method,Taser 2: Number of discharges with probes,Taser 2: Number of contact stuns,Taser 2: Num of 5 second cycles,Taser 2: Body Location,Taser 2: Activation Duration,Taser 2: Tactic Location Type,Taser 2: Tactic Location Description,Taser 2: Environmental Conditions,Taser 2: Subject Restrained?,Taser 2: Tactic Effect,Taser 3: PCA,Taser 3: Type,Taser 3: Deployment Method,Taser 3: Number of discharges with probes,Taser 3: Number of contact stuns,Taser 3: Num of 5 second cycles,Taser 3: Body Location,Taser 3: Activation Duration,Taser 3: Tactic Location Type,Taser 3: Tactic Location Description,Taser 3: Environmental Conditions,Taser 3: Subject Restrained?,Taser 3: Tactic Effect,Carotid Hold: Usage Count,Carotid Hold 1: PCA,Carotid Hold 1: Effect of Hold,Carotid Hold 1: Tactic Location Type,Carotid Hold 1: Tactic Location Description,Carotid Hold 1: Tactic Effect,Carotid Hold 2: PCA,Carotid Hold 2: Effect of Hold,Carotid Hold 2: Tactic Location Type,Carotid Hold 2: Tactic Location Description,Carotid Hold 2: Tactic Effect,Firearm: Usage Count,Firearm 1: PCA,Firearm 1: Firearm Type,Firearm 1: Deployment Method,Firearm 1: Num Shots Fired,Firearm 1: Body Location,Firearm 1: Tactic Location Type,Firearm 1: Tactic Location Description,Firearm 1: Capable of Threat,Firearm 1: Tactic Effect,Firearm 2: PCA,Firearm 2: Firearm Type,Firearm 2: Deployment Method,Firearm 2: Num Shots Fired,Firearm 2: Body Location,Firearm 2: Tactic Location Type,Firearm 2: Tactic Location Description,Firearm 2: Capable of Threat,Firearm 2: Tactic Effect,Other: Usage Count,Other 1: PCA,Other 1: Tactic Location Type,Other 1: Tactic Location Description,Other 1: Tactic Effect,Other 2: PCA,Other 2: Tactic Location Type,Other 2: Tactic Location Description,Other 2: Tactic Effect,Incident Type,Total Subject Injuries,Subject Injury 1: Cause,Subject Injury 1: Site,Subject Injury 1: Type,Subject Injury 1: Treatment Required,Subject Injury 1: Treatment Received,Subject Injury 2: Cause,Subject Injury 2: Site,Subject Injury 2: Type,Subject Injury 2: Treatment Required,Subject Injury 2: Treatment Received,Subject Injury 3: Cause,Subject Injury 3: Site,Subject Injury 3: Type,Subject Injury 3: Treatment Required,Subject Injury 3: Treatment Received,Staff Injury,Staff Injury: Area(s),Staff Injury: Outcome,Staff Injury: Cause,Staff Injury By Subject: Behaviour,Hard armour plates (HAP): Used,Reflectorised jacket: Used,SRBA: Used,SRBA: Felt Safer,SRBA: Worked,SRBA: Negative
160701/02665,Completed,7,2016,16:42,Northland,Nil,Yes,31,Male,Maori,No Weapon,"Communication
Empty Hand
OC Spray
Empty Hand
Handcuffs-Restraints
",1,Active Resistant,Residence,Outdoors,Nil,1,Active Resistant,without pain compliance,Other,Outdoors,Delayed but sufficient,,,,,,,,,,,1,Active Resistant,3,"LEyeBrow, REyeBrow, LEye, REye, LEar, LCheek, Nose",Residence,Outdoors,"Good visibility
Wet ground
Calm
Static obstacles",Delayed and not sufficient,,,,,,,,,,,,,,,2,Active Resistant,Street/Highway/Motorway,Outdoors,Immediate but not sufficient,Active Resistant,"Street/Highway/Motorway
Other",Outdoors,Delayed but sufficient,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2w - arrest warrant (other),1,Empty Hand,LLeg-front,Sprain/Strain,Self,Nil,,,,,,,,,,,,,,,,No,No,Yes,N/A,N/A,N/A
160702/02668,Completed,7,2016,0:50,Waitemata,Nil,Yes,23,Male,European,No Weapon,"Communication
Empty Hand
",1,Passive Resistant,Police Receiving Area,Indoors,Nil,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,Active Resistant,Police Receiving Area,Indoors,Immediate and sufficient,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1h - drunk home,0,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,N/A,No
160702/02669,Completed,7,2016,0:51,Southern,Nil,Yes,21,Male,European,No Weapon,"Empty Hand
Handcuffs-Restraints
OC Spray
",0,,,,,1,Active Resistant,without pain compliance,Licenced Premises,Outdoors,Delayed and not sufficient,,,,,,,,,,,1,Active Resistant,1,"LEyeBrow, REyeBrow, LEye, REye",Licenced Premises,Outdoors,"Good visibility
Dry ground",Immediate and sufficient,,,,,,,,,,,,,,,1,Active Resistant,Licenced Premises,Outdoors,Immediate but not sufficient,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,6d - bail breach,0,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,No,N/A,No
160702/02670,Completed,7,2016,2:22,Bay of Plenty,Nil,Yes,29,Male,Pacific Island,No Weapon,"OC Spray
",0,,,,,0,,,,,,,,,,,,,,,,1,Assaultive,2,"Forehead, Miss",Police Receiving Area,Indoors,"Good visibility
Calm",Immediate and sufficient,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1k ? drunk custody/detox centre incident,0,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,No
160702/02671,Completed,7,2016,1:44,Waitemata,Team Policing/Tactical Policing Unit (TP),Yes,22,Male,Maori,No Weapon,"Communication
Empty Hand
Taser
",1,Assaultive,Gang Premises,"Outdoors
Confined area",Nil,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,Assaultive,"Gang Premises
Residence","Outdoors
Confined area",Nil,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,1,Assaultive,X2,Laser Painting,-,-,-,-,-,"Gang Premises
Residence","Outdoors
Confined area","Wet ground
Calm",No,Delayed but sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1n - noise control,1,Empty Hand,Face,Minor cut/laceration(s),Self,Self,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,No
160702/02672,Completed,7,2016,1:44,Waitemata,Team Policing/Tactical Policing Unit (TP),Yes,22,Male,Maori,No Weapon,"Communication
Empty Hand
Communication
Handcuffs-Restraints
",2,Assaultive,"Gang Premises
Residence","Outdoors
Confined area",Delayed and not sufficient,1,Assaultive,with pain compliance,"Gang Premises
Residence","Outdoors
Confined area",Delayed but sufficient,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,Assaultive,"Gang Premises
Residence","Outdoors
Confined area",Delayed and not sufficient,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1n - noise control,1,Empty Hand,Face,Minor cut/laceration(s),Self,Self,,,,,,,,,,,Yes,"RShldr-front
LShldr-front
LArm-front
Neck-back",Self,Subject,Punch/Strike Police,No,No,Yes,Yes,Yes,No
160702/02675,Completed,7,2016,9:20,Wellington,Dog Section,Yes,59,Male,European,No Weapon,"Communication
Taser
Handcuffs-Restraints
",1,Passive Resistant,Residence,Outdoors,Nil,1,Active Resistant,with pain compliance,Residence,Outdoors,Delayed but sufficient,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,1,Passive Resistant,X2,Presented,-,-,-,-,-,Residence,Outdoors,"Good visibility
Wet ground
Calm",No,Delayed but sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,4q - enquiry/investigation,1,Handcuffs-Restraints,LHand-front,Scrape/abrasion(not cut/laceration),Self,Refused,,,,,,,,,,,Yes,RHand-front,Self,Subject,Other,No,No,Yes,Yes,N/A,No
160702/02677,Completed,7,2016,8:40,Southern,Nil,Yes,21,Male,European,No Weapon,"Handcuffs-Restraints
Other
",0,,,,,1,Passive Resistant,without pain compliance,Police Cell,Indoors,Immediate and sufficient,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,Assaultive,"Police Car
Other",Indoors,Immediate and sufficient,,,,,4j - court security services (prison escort),0,,,,,,,,,,,,,,,,Yes,"RHand-front
LHand-front
Face
Neck-front
LHand-back
RHand-back
Head-back
Neck-back",Nil,Subject,Other,No,No,No,,,
