ID Number,Status,Month,Year,Incident Time,District,Special Police groups,Subject Known,Subject Age,Subject Gender,Subject Ethnicity,RF: History of carrying weapons,RF: History of Violence Against Police,RF: History of Violence Against non-police,RF: Alcohol,RF: Drugs,RF: Mental health,RF: Distressed (not mental health),RF: Suicidal,RF: Excited Delerium,RF: Medical,RF: Other,Subject Armed,Subject Weapon - RECODE,Tactics Used,Communication: Usage Count,Communication: PCA,Communication: Tactic Location Type,Communication: Tactic Location Description,Communication: Tactic Effect,HC-Restraints: Usage Count,HC-Restraints 1: PCA,HC-Restraints 1: Technique,HC-Restraints 1: Tactic Location Type,HC-Restraints 1: Tactic Location Description,HC-Restraints 1: Tactic Effect,HC-Restraints 2: PCA,HC-Restraints 2: Technique,HC-Restraints 2: Tactic Location Type,HC-Restraints 2: Tactic Location Description,HC-Restraints 2: Tactic Effect,HC-Restraints 3: PCA,HC-Restraints 3: Technique,HC-Restraints 3: Tactic Location Type,HC-Restraints 3: Tactic Location Description,HC-Restraints 3: Tactic Effect,OC Spray: Usage Count,OC Spray 1: PCA,OC Spray 1: Spray Duration,OC Spray 1: Body Location,OC Spray 1: Tactic Location Type,OC Spray 1: Tactic Location Description,OC Spray 1: Environmental Conditions,OC Spray 1: Tactic Effect,OC Spray 2: PCA,OC Spray 2: Spray Duration,OC Spray 2: Body Location,OC Spray 2: Tactic Location Type,OC Spray 2: Tactic Location Description,OC Spray 2: Environmental Conditions,OC Spray 2: Tactic Effect,OC Spray 3: PCA,OC Spray 3: Spray Duration,OC Spray 3: Body Location,OC Spray 3: Tactic Location Type,OC Spray 3: Tactic Location Description,OC Spray 3: Environmental Conditions,OC Spray 3: Tactic Effect,Empty Hand: Usage Count,Empty Hand 1: PCA,Empty Hand 1: Tactic Location Type,Empty Hand 1: Tactic Location Description,Empty Hand 1: Tactic Effect,Empty Hand 2: PCA,Empty Hand 2: Tactic Location Type,Empty Hand 2: Tactic Location Description,Empty Hand 2: Tactic Effect,Empty Hand 3: PCA,Empty Hand 3: Technique,Empty Hand 3: Tactic Location Type,Empty Hand 3: Tactic Location Description,Empty Hand 3: Tactic Effect,Baton: Usage Count,Baton 1: PCA,Baton 1: Type,Baton 1: Method,Baton 1: Strikes,Baton 1: Tactic Location Type,Baton 1: Tactic Location Description,Baton 1: Tactic Effect,Baton 2: PCA,Baton 2: Type,Baton 2: Method,Baton 2: Strikes,Baton 2: Tactic Location Type,Baton 2: Tactic Location Description,Baton 2: Tactic Effect,Dog: Usage Count,Dog 1: PCA,Dog 1: Subject Bitten,Dog 1: Tactic Location Type,Dog 1: Tactic Location Description,Dog 1: Tactic Effect,Dog 2: PCA,Dog 2: Subject Bitten,Dog 2: Tactic Location Type,Dog 2: Tactic Location Description,Dog 2: Tactic Effect,Taser: Usage Count,Taser 1: PCA,Taser 1: Type,Taser 1: Reason No Warning - REDACTED,Taser 1: Deployment Method,Taser 1: Number of discharges with probes,Taser 1: Number of contact stuns,Taser 1: Num of 5 second cycles,Taser 1: Body Location,Taser 1: Activation Duration,Taser 1: Tactic Location Type,Taser 1: Tactic Location Description,Taser 1: Environmental Conditions,Taser 1: Subject Restrained?,Taser 1: Tactic Effect,Taser 2: PCA,Taser 2: Type,Taser 2: Reason No Warning,Taser 2: Deployment Method,Taser 2: Number of discharges with probes,Taser 2: Number of contact stuns,Taser 2: Num of 5 second cycles,Taser 2: Body Location,Taser 2: Activation Duration,Taser 2: Tactic Location Type,Taser 2: Tactic Location Description,Taser 2: Environmental Conditions,Taser 2: Subject Restrained?,Taser 2: Tactic Effect,Taser 3: PCA,Taser 3: Type,Taser 3: Reason No Warning,Taser 3: Deployment Method,Taser 3: Number of discharges with probes,Taser 3: Number of contact stuns,Taser 3: Num of 5 second cycles,Taser 3: Body Location,Taser 3: Activation Duration,Taser 3: Tactic Location Type,Taser 3: Tactic Location Description,Taser 3: Environmental Conditions,Taser 3: Subject Restrained?,Taser 3: Tactic Effect,Carotid Hold: Usage Count,Carotid Hold 1: Subject Behaviour,Carotid Hold 1: PCA,Carotid Hold 1: Effect of Hold,Carotid Hold 1: Tactic Location Type,Carotid Hold 1: Tactic Location Description,Carotid Hold 1: Tactic Effect,Carotid Hold 2: Subject Behaviour,Carotid Hold 2: PCA,Carotid Hold 2: Effect of Hold,Carotid Hold 2: Tactic Location Type,Carotid Hold 2: Tactic Location Description,Carotid Hold 2: Tactic Effect,Firearm: Usage Count,Firearm 1: PCA,Firearm 1: Firearm Type - RECODED,Firearm 1: Deployment Method,Firearm 1: Num Shots Fired,Firearm 1: Body Location,Firearm 1: Tactic Location Type,Firearm 1: Tactic Location Description,Firearm 1: Capable of Threat,Firearm 1: Tactic Effect,Firearm 2: PCA,Firearm 2: Firearm Type,Firearm 2: Deployment Method,Firearm 2: Num Shots Fired,Firearm 2: Body Location,Firearm 2: Tactic Location Type,Firearm 2: Tactic Location Description,Firearm 2: Capable of Threat,Firearm 2: Tactic Effect,Other: Usage Count,Other 1: Tactic - REDACTED,Other 1: PCA,Other 1: Tactic Location Type,Other 1: Tactic Location Description,Other 1: Tactic Effect,Other 2: Tactic,Other 2: PCA,Other 2: Tactic Location Type,Other 2: Tactic Location Description,Other 2: Tactic Effect,Incident Type,Most Effective Tactic - RECODED,Total Subject Injuries,Subject Injury 1: Cause,Subject Injury 1: Site,Subject Injury 1: Type,Subject Injury 1: Treatment Required,Subject Injury 1: Treatment Received,Subject Injury 2: Cause,Subject Injury 2: Site,Subject Injury 2: Type,Subject Injury 2: Treatment Required,Subject Injury 2: Treatment Received,Subject Injury 3: Cause,Subject Injury 3: Site,Subject Injury 3: Type,Subject Injury 3: Treatment Required,Subject Injury 3: Treatment Received,Staff Injury,Staff Injury: Area(s),Staff Injury: Outcome,Staff Injury: Cause,Staff Injury By Subject: Behaviour,Hard armour plates (HAP): Used,Reflectorised jacket: Used,SRBA: Used,SRBA: Felt Safer,SRBA: Worked,SRBA: Negative
1,Completed,7,2017,14:30,Central,"Criminal Investigation Branch (CIB), Strategic Traffic Unit (STU)",No,,Male,Maori,N,N,N,N,N,N,N,N,N,N,Y,Had Weapon and Used,Vehicle,"Taser
Other
",0,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,1,GBH,X26 with camera,-,Presented,-,-,-,-,-,Street/Highway/Motorway,Outdoors,"Good visibility
Dry ground
Static obstacles",No,Delayed and not sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,Began to kick the windscreen in with my boot to get both offenders out of the vehicle,GBH,Street/Highway/Motorway,"Outdoors
Confined area",Delayed but sufficient,,,,,,1u ? traffic incident,Taser,0,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,No
2,Completed,9,2017,13:32,Tasman,Nil,Yes,39,Male,European,Y,Y,Y,Y,N,N,N,N,N,Y,N,No Weapon,,"Communication
Empty Hand
Taser
Handcuffs-Restraints
Empty Hand
Other
",1,Active Resistant,Other,Indoors,Nil,1,Assaultive,without pain compliance,Other,Indoors,Immediate but not sufficient,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,2,Active Resistant,Other,Indoors,Nil,Active Resistant,Other,Indoors,Immediate but not sufficient,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,1,Assaultive,X2,-,Laser Painting,-,-,-,-,-,Other,"Indoors
Confined area","Good visibility
Dry ground
Static obstacles",No,Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,dragged,Active Resistant,Other,"Indoors
Confined area",Immediate and sufficient,,,,,,1r - breach of peace,Taser,0,,,,,,,,,,,,,,,,Yes,"LHand-front
LHand-back",Nil,Subject,Wrestle/Headlock Police,No,No,Yes,Yes,N/A,No
3,Completed,7,2017,21:56,Wellington,Nil,Yes,23,Male,European,N,Y,Y,Y,N,N,N,N,N,N,N,Had Weapon but Not Used,Cutting/stabbing weapon,"Communication
Taser
Other
",1,Assaultive,Street/Highway/Motorway,Outdoors,Nil,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,1,Assaultive,X2,-,Presented,-,-,-,-,-,Street/Highway/Motorway,Outdoors,"Rain, Snow, Sleet",No,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,Knee to offenders leg,Assaultive,Street/Highway/Motorway,Outdoors,Delayed but sufficient,,,,,,1z ? other incident,OTHER,0,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,No
4,Completed,7,2017,23:00,Southern,Nil,Yes,28,Male,Maori,N,Y,Y,Y,Y,Y,N,N,N,N,N,No Weapon,,"Communication
Taser
Other
Communication
Handcuffs-Restraints
",2,Passive Resistant,Residence,Outdoors,Immediate and sufficient,1,Cooperative,without pain compliance,Residence,Outdoors,Immediate and sufficient,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,1,Assaultive,X2,-,Presented,-,-,-,-,-,Residence,Outdoors,"Good visibility
Wet ground
Calm
Static obstacles",No,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,Non-deployed spray,Active Resistant,Residence,Outdoors,Immediate and sufficient,,,,,,1d ? domestic dispute incident,Communication,0,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,No
5,Completed,10,2017,21:03,Canterbury,Nil,Yes,34,Female,Maori,N,N,Y,Y,N,Y,N,N,N,N,N,No Weapon,,"Communication
Other
Taser
",1,Active Resistant,Residence,Confined area,Nil,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,1,Assaultive,X26 with camera,-,Laser Painting,-,-,-,-,-,Residence,Confined area,"Static obstacles
Moving obstacles",No,Delayed but sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,physical contact,Active Resistant,Residence,Confined area,Immediate but not sufficient,,,,,,1m ? mental incident,Communication,0,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,No
6,Completed,11,2017,15:59,Southern,Nil,Yes,47,Male,European,Y,Y,Y,N,N,Y,N,Y,N,N,N,No Weapon,,"Communication
Other
Taser
",1,Assaultive,Other,"Indoors
Confined area",Delayed and not sufficient,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,1,Assaultive,X2,-,Laser Painting,-,-,-,-,-,Other,"Indoors
Confined area","Good visibility
Dry ground
Calm
Static obstacles
Potential cross-fire/contamination",No,Delayed but sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,Riot Shield,Assaultive,Other,"Indoors
Confined area",Immediate and sufficient,,,,,,1m ? mental incident,Taser,0,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,No
7,Completed,12,2017,9:15,Wellington,Nil,Yes,14,Male,Maori,N,Y,Y,N,N,N,N,N,N,N,N,Had Weapon and Used,Vehicle,"Other
Taser
",0,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,1,Assaultive,X2,-,Laser Painting,-,-,-,-,-,Street/Highway/Motorway,Outdoors,Good visibility,No,Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,Spikes,GBH,Street/Highway/Motorway,Outdoors,Immediate but not sufficient,,,,,,3t - turnover,Taser,1,Other - not tactic,"RLeg-front
Neck-front",Scrape/abrasion(not cut/laceration),Self,Self,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,No
8,Completed,8,2017,17:05,Central,Nil,Yes,36,Male,Maori,N,N,Y,N,N,Y,N,Y,N,N,N,Had Weapon and Believed,Cutting/stabbing weapon,"Communication
Firearm
Taser
",1,GBH,Residence,"Indoors
Confined area",Delayed but sufficient,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,1,GBH,X2,-,Presented,-,-,-,-,-,Residence,"Indoors
Confined area","Poor visibility
Dry ground
Calm
Static obstacles
Potential cross-fire/contamination",No,Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,GBH,Glock 17 Handgun,Presentation only,,,Residence,"Indoors
Confined area",Yes,Nil,,,,,,,,,,0,,,,,,,,,,,1d ? domestic dispute incident,Communication,0,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,No
9,Completed,7,2017,20:30,Wellington,Dog Section,Yes,49,Male,Maori,Y,N,N,N,Y,N,N,N,N,N,N,No Weapon but Believed,,"Firearm
Taser
OC Spray
Empty Hand
Handcuffs-Restraints
",0,,,,,1,Passive Resistant,without pain compliance,Street/Highway/Motorway,Outdoors,Immediate and sufficient,,,,,,,,,,,1,Passive Resistant,1,LEar,Street/Highway/Motorway,Outdoors,"Poor visibility
Wet ground",Nil,,,,,,,,,,,,,,,1,Passive Resistant,Street/Highway/Motorway,Outdoors,Immediate and sufficient,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,1,GBH,X2,-,Laser Painting,-,-,-,-,-,Street/Highway/Motorway,Outdoors,"Poor visibility
Wet ground",No,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,GBH,Glock 17 Handgun,Presentation only,,,Street/Highway/Motorway,Outdoors,Yes,Delayed and not sufficient,,,,,,,,,,0,,,,,,,,,,,3t - turnover,Empty Hand,1,Handcuffs-Restraints,RHand-front,Scrape/abrasion(not cut/laceration),Nil,Nil,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,N/A,No
10,Completed,9,2017,21:55,Central,Nil,Yes,21,Male,Maori,N,N,Y,N,N,N,N,N,N,N,N,Had Weapon and Believed,Cutting/stabbing weapon,"Communication
Taser
Firearm
",1,GBH,Residence,Outdoors,Delayed and not sufficient,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,1,GBH,X2,-,Laser Painting,-,-,-,-,-,Residence,Outdoors,"Poor visibility
Calm
Potential cross-fire/contamination",No,Delayed and not sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,GBH,Glock 17 Handgun,Presentation only,,,Residence,"Outdoors
Confined area",Yes,Delayed but sufficient,,,,,,,,,,0,,,,,,,,,,,1d ? domestic dispute incident,Firearm,0,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,N/A,No
