Calendar year,Ethnicity,Main offence,Sentence,Value,Flags
"1981","European","Total Offences","Imprisonment",1511,
"1980","European","Total Offences","Imprisonment",1567,
"1984","European","Total Offences","Imprisonment",2133,
"1983","European","Total Offences","Imprisonment",1845,
"1982","European","Total Offences","Imprisonment",1676,
"1985","European","Total Offences","Imprisonment",1839,
"1987","European","Total Offences","Imprisonment",2064,
"1980","European","Total Offences","Total sentences",34978,
"1990","European","Total Offences","Imprisonment",2530,
"1981","European","Total Offences","Total sentences",35545,
"1988","European","Total Offences","Imprisonment",2062,
"1986","European","Total Offences","Imprisonment",1849,
"1989","European","Total Offences","Imprisonment",2204,
"1982","European","Total Offences","Total sentences",30362,
"1980","European","Public Order Offences","Imprisonment",47,
"1980","European","Miscellaneous Offences","Imprisonment",1,
"1983","European","Total Offences","Total sentences",30786,
"1980","European","Assault","Imprisonment",135,
"1993","European","Total Offences","Imprisonment",2641,
"1986","European","Total Offences","Total sentences",32513,
"1989","European","Total Offences","Total sentences",35876,
"1984","European","Total Offences","Total sentences",31613,
"1987","European","Total Offences","Total sentences",33193,
"1991","European","Total Offences","Imprisonment",2574,
"1994","European","Total Offences","Imprisonment",2450,
"1980","European","Public Order Offences","Total sentences",8128,
"1992","European","Total Offences","Imprisonment",2650,
"1985","European","Total Offences","Total sentences",31762,
"1988","European","Total Offences","Total sentences",35866,
"1980","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",348,
"1981","European","Public Order Offences","Total sentences",7060,
"1981","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",6,
"1981","European","Miscellaneous Offences","Total sentences",953,
"1981","European","Attempted murder","Imprisonment",1,
"1980","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",12,
"1982","European","Attempted murder","Imprisonment",2,
"1983","European","Assault","Imprisonment",122,
"1981","European","Public Order Offences","Imprisonment",50,
"1982","European","Public Order Offences","Imprisonment",31,
"1981","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",353,
"1981","European","Assault","Imprisonment",93,
"1982","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",364,
"1982","European","Attempted murder","Total sentences",2,
"1982","European","Assault","Total sentences",1468,
"1982","European","Public Order Offences","Total sentences",5286,
"1982","European","Assault","Imprisonment",127,
"1982","European","Miscellaneous Offences","Total sentences",420,
"1980","European","Attempted murder","Imprisonment",1,
"1980","European","Miscellaneous Offences","Total sentences",836,
"1983","European","Assault","Total sentences",1399,
"1982","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",8,
"1983","European","Miscellaneous Offences","Total sentences",327,
"1980","European","Murder","Imprisonment",4,
"1982","European","Murder","Imprisonment",3,
"1983","European","Murder","Imprisonment",7,
"1983","European","Murder","Total sentences",7,
"1983","European","Other acts intended to cause injury","Imprisonment",3,
"1981","European","Murder","Imprisonment",7,
"1981","European","Murder","Total sentences",8,
"1982","European","Murder","Total sentences",3,
"1981","European","Other acts intended to cause injury","Imprisonment",2,
"1982","European","Other acts intended to cause injury","Imprisonment",1,
"1987","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",35,
"1981","European","Assault","Total sentences",1385,
"1984","European","Public Order Offences","Total sentences",3968,
"1980","European","Attempted murder","Total sentences",1,
"1987","European","Attempted murder","Imprisonment",3,
"1984","European","Miscellaneous Offences","Total sentences",329,
"1984","European","Attempted murder","Imprisonment",8,
"1984","European","Assault","Total sentences",1538,
"1984","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",29,
"1988","European","Public Order Offences","Imprisonment",8,
"1985","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",480,
"1983","European","Miscellaneous Offences","Imprisonment",3,
"1989","European","Assault","Total sentences",1730,
"1983","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",25,
"1986","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",37,
"1984","European","Public Order Offences","Imprisonment",30,
"1984","European","Attempted murder","Total sentences",10,
"1984","European","Miscellaneous Offences","Imprisonment",1,
"1988","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",32,
"1986","European","Public Order Offences","Total sentences",4039,
"1987","European","Assault","Imprisonment",159,
"1984","European","Assault","Imprisonment",160,
"1984","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",398,
"1987","European","Public Order Offences","Imprisonment",15,
"1988","European","Assault","Imprisonment",203,
"1983","European","Public Order Offences","Total sentences",4360,
"1988","European","Attempted murder","Imprisonment",2,
"1985","European","Attempted murder","Total sentences",4,
"1985","European","Assault","Imprisonment",144,
"1989","European","Assault","Imprisonment",208,
"1986","European","Attempted murder","Total sentences",9,
"1985","European","Attempted murder","Imprisonment",4,
"1985","European","Miscellaneous Offences","Total sentences",375,
"1985","European","Public Order Offences","Imprisonment",28,
"1985","European","Public Order Offences","Total sentences",4028,
"1986","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",499,
"1983","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",353,
"1980","European","Assault","Total sentences",1316,
"1988","European","Miscellaneous Offences","Total sentences",211,
"1986","European","Assault","Imprisonment",160,
"1987","European","Miscellaneous Offences","Imprisonment",1,
"1986","European","Public Order Offences","Imprisonment",30,
"1981","European","Attempted murder","Total sentences",4,
